Langue;Sexe;Date de naissance;Code postal;Ville;Pays
fr;F;26/04/2019;1180;Uccle;Belgium
fr;F;18/12/2003;1420;Braine l'Alleud;Belgium
fr;M;05/08/1974;1180;Uccle;Belgium
fr;M;19/12/2007;1601;Ruisbroek (Bt.);Belgium
fr;M;28/08/2014;1601;Ruisbroek (Bt.);Belgium
fr;M;27/06/2020;1190;Forest;Belgium
fr;F;27/11/2015;1630;Linkebeek;Belgium
fr;M;09/03/1980;1190;Forest;Belgium
fr;F;22/02/2004;1640;Rhode saint genèse;Belgium
fr;F;25/06/2010;1180;bruxelles;Belgium
fr;F;06/08/2012;1180;uccle;Belgium
fr;F;18/05/2018;1180;Uccle;Belgium
fr;F;28/12/2007;1190;forest;Belgium
fr;F;16/04/1990;1420;Braine-l'Alleud;Belgium
fr;F;24/01/2012;1620;Drogenbos;Belgium
fr;F;14/03/2015;1190;Foresr;Belgium
fr;F;09/06/2017;1190;Foresr;Belgium
fr;F;01/02/1998;1040;Bruxelles;Belgium
fr;F;26/04/1988;1060;Saint-gilles;Belgium
fr;M;04/09/2008;1000;Bruxelles;Belgium
fr;M;07/09/1965;1190;Forest;Belgium
fr;M;24/08/1999;1190;Bruxelles;Belgium
fr;M;21/09/1966;1190;Forest;Belgium
fr;M;04/06/2010;1180;Uccle;Belgium
fr;M;14/01/2013;1180;Uccle;Belgium
fr;F;11/04/1995;1700;Dilbeek;Belgium
fr;F;27/02/1995;1050;Ixelles;Belgium
fr;M;19/06/2002;1180;Bruxelles;Belgium
fr;F;26/03/2007;1180;Bruxelles;Belgium
fr;F;05/11/2018;1190;Uccles;Belgium
fr;F;06/12/1993;1050;Ixelles;Belgium
fr;M;17/04/1974;1300;Wavre;Belgium
fr;M;21/11/1982;1190;Forest;Belgium
fr;F;10/06/2013;1180;Bruxelles;Belgium
fr;F;01/03/1983;1180;Bruxelles;Belgium
fr;M;10/03/2011;1650;Beersel;Belgium
fr;M;28/01/2011;1650;Beersel;Belgium
fr;M;05/05/2013;1650;Beersel;Belgium
fr;F;02/10/2018;1630;Linkebeek;Belgium
fr;M;04/03/1982;1650;Beersel;Belgium
fr;F;11/10/2016;1630;Linkebeek;Belgium
fr;M;15/04/2016;1650;Beersel;Belgium
fr;F;07/08/2017;1190;Forest;Belgium
fr;M;30/04/2015;7000;Mons;Belgium
fr;M;18/02/2018;1650;Beersel;Belgium
fr;M;03/03/2016;1180;Bruxelles;Belgium
fr;M;12/06/1997;1180;Uccle;Belgium
fr;M;04/01/1974;1190;Forest;Belgium
fr;F;07/07/2007;1180;Uccle;Belgium
fr;F;19/05/1994;3040;Loonbeek;Belgium
fr;M;07/06/2002;1180;Bruxelles;Belgium
fr;F;16/12/2011;1180;Uccle;Belgium
fr;M;22/10/2014;1180;Uccle;Belgium
fr;M;16/04/2008;1190;Forest;Belgium
fr;M;17/05/2011;1190;Forest;Belgium
fr;F;02/06/2020;1180;Uccle;Belgium
fr;M;14/02/1961;;;Belgium
fr;M;05/02/2008;1180;Bruxelles;Belgium
fr;M;28/09/1977;1180;Uccle;Belgium
fr;M;12/03/2007;1180;Uccle;Belgium
fr;F;26/02/2020;1190;Vorst;Belgium
fr;F;19/03/2018;1180;Uccle;Belgium
fr;M;21/09/2019;1180;Uccle;Belgium
